id_cliente,mes,idade,profissao,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,num_verificacoes_credito,mix_credito,divida_total,taxa_uso_credito,idade_historico_credito,investimento_mensal,comportamento_pagamento,saldo_final_mes,score_credito,emprestimo_carro,emprestimo_casa,emprestimo_pessoal,emprestimo_credito,emprestimo_estudantil
3392,1,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,3.0,7.0,4.0,Bom,809.98,26.822619623699016,265.0,21.465380264657146,alto_gasto_pagamento_baixos,312.49408867943663,Good,1,1,1,1,0
3392,2,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,3.0,4.0,4.0,Bom,809.98,31.94496005538421,266.0,21.465380264657146,baixo_gasto_pagamento_alto,284.62916249607184,Good,1,1,1,1,0
3392,3,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,3.0,7.0,4.0,Bom,809.98,28.60935202206993,267.0,21.465380264657146,baixo_gasto_pagamento_medio,331.2098628537912,Good,1,1,1,1,0
3392,4,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,5.0,4.0,4.0,Bom,809.98,31.37786186958236,268.0,21.465380264657146,baixo_gasto_pagamento_baixo,223.45130972736783,Good,1,1,1,1,0
3392,5,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,6.0,4.0,4.0,Bom,809.98,24.797346908844982,269.0,21.465380264657146,alto_gasto_pagamento_medio,341.48923103222177,Good,1,1,1,1,0
3392,6,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,8.0,4.0,4.0,Bom,809.98,27.26225871052017,270.0,21.465380264657146,alto_gasto_pagamento_medio,340.4792117872438,Good,1,1,1,1,0
3392,7,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,3.0,8.0,4.0,Bom,809.98,22.53759303178384,271.0,21.465380264657146,baixo_gasto_pagamento_baixo,244.5653167062043,Good,1,1,1,1,0
3392,8,23.0,cientista,19114.12,3.0,4.0,3.0,4.0,3.0,6.0,4.0,Bom,809.98,23.93379480196552,272.0,21.465380264657146,alto_gasto_pagamento_medio,358.12416760938714,Standard,1,1,1,1,0
8625,1,28.0,professor,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,2.0,Bom,605.03,24.46403063758457,319.0,39.684018417945296,baixo_gasto_pagamento_baixo,470.69062692529184,Standard,0,0,0,1,0
8625,2,28.0,professor,34847.84,2.0,4.0,6.0,1.0,7.0,1.0,2.0,Bom,605.03,38.550848433956325,320.0,39.684018417945296,alto_gasto_pagamento_alto,484.5912142650067,Good,0,0,0,1,0
8625,3,28.0,professor,34847.84,2.0,4.0,6.0,1.0,3.0,1.0,2.0,Bom,605.03,33.22495078663659,321.0,39.684018417945296,alto_gasto_pagamento_alto,466.46647639764313,Standard,0,0,0,1,0
