"id";"titulo";"estado_do_livro";"ano"
"101";"The Art of War";"Disponível";"500"
"102";"The Science Fiction Hall of Fame";"Emprestado";"1965"
"103";"The Best American Series";"Disponível";"2000"
"104";"The Norton Anthology of English Literature";"Emprestado";"1962"
"105";"The Oxford Book of American Short Stories";"Disponível";"1992"
"106";"The Columbia Anthology of Modern Chinese Drama";"Emprestado";"2008"
"107";"The Penguin Book of English Short Stories";"Disponível";"2007"
"108";"The Vintage Book of Contemporary American Short Stories";"Emprestado";"1994"
"109";"The Cambridge History of the Cold War";"Disponível";"2010"
"110";"The HarperCollins Book of English Poetry";"Emprestado";"2004"
"111";"The Essential Writings of Ralph Waldo Emerson";"Disponível";"2000"
"112";"The Bedford Anthology of American Literature";"Emprestado";"2008"
"113";"The Penguin Anthology of 20th Century American Poetry";"Disponível";"2011"
"114";"The Complete Works of William Shakespeare";"Emprestado";"2003"
"115";"The Routledge Companion to Philosophy in Organization Studies";"Disponível";"2013"
"116";"The International Handbook of Social Innovation";"Emprestado";"2014"
"117";"The Blackwell Companion to Philosophy of Language";"Disponível";"2012"
"118";"The Cambridge Companion to American Poets";"Emprestado";"2008"
"119";"The Norton Anthology of World Literature";"Disponível";"2012"
"120";"The Oxford Handbook of Global Policy";"Emprestado";"2018"
"121";"The Handbook of New Media";"Disponível";"2006"
"122";"The Oxford Companion to English Literature";"Emprestado";"2000"
"123";"The Cambridge Companion to Feminist Literary Theory";"Disponível";"2004"
"124";"The Routledge Companion to Management and Organizational History";"Emprestado";"2016"
"125";"The Oxford Handbook of Economic Geography";"Disponível";"2000"
