"livro_id";"autor_id"
"101";"1"
"101";"2"
"101";"27"
"102";"2"
"102";"3"
"102";"28"
"103";"3"
"103";"4"
"103";"29"
"104";"4"
"104";"5"
"104";"30"
"105";"5"
"105";"6"
"105";"31"
"106";"6"
"106";"7"
"106";"32"
"107";"7"
"107";"8"
"107";"33"
"108";"8"
"108";"9"
"108";"34"
"109";"9"
"109";"10"
"109";"35"
"110";"10"
"110";"11"
"110";"36"
"111";"11"
"111";"12"
"111";"37"
"112";"12"
"112";"13"
"112";"38"
"113";"13"
"113";"14"
"113";"39"
"114";"14"
"114";"15"
"114";"40"
"115";"15"
"115";"16"
"115";"41"
"116";"16"
"116";"17"
"116";"42"
"117";"17"
"117";"18"
"117";"43"
"118";"18"
"118";"19"
"118";"44"
"119";"19"
"119";"20"
"119";"45"
"120";"20"
"120";"21"
"120";"46"
"121";"21"
"121";"22"
"122";"22"
"122";"23"
"123";"23"
"123";"24"
"124";"24"
"124";"25"
"125";"25"
"125";"26"
